Username,Summary,Userhistory,label
Kini_Monei,sad,I'm so sadThe one good thing that's gonna come out from this whole thing is that there won't be any handshaking for a very loUit die blou van onse verbeeterungsPole dancing is funSch\xf6nbrunn Garten,1
MartensCentre,sad,"It was a pleasure to have you again with us in an ! Thank you for watching and engaging the debate and.: ""I also think is a key partner to the , and we look forward to working with the government of""About partnerships with 3rd countries, France, Spain and others have a colonial past. But when you come to negotia""A lot of people say that the is slow; we're so because we take into account the opinions of all member states,.: ""I would advocate in favour of eanding our network of cooperation with countries from the region",0
jjkraps,sad,im so sorry im looking at old mentions byebreaks my hearti am so sadi hate schoolim pathetic,1
DaroganY,sad,I fear for Wales. When everything is divided up post Scottish indy we will be left with our underpantsEmbarrassing. It's driven by brexit.The next Senedd elections will prove crucial.Yeah. It's a fair comment that. I'm embarrassed by Holyhead and Ynys Mon to honest. Thankfully GwyneddNot sure where he does his research but it's definitely not in any parts of Wales that I visit when I return home.,1
medwards2111,sad,"Stay Encouraged - For God has not given us the spirit of fear and anxiety- but of power, Love and self-disciplineDont be afraid - our loss may be great, but God is greater!!!",0
trisha78874415,sad,Same here !,0
Coopanza,sad,"I think in general his direct truth telling was a strength... but not on this issue. I thinSort of. I think his too-kind words for brutal communist dictators made him seem too extremI really think it was the Castro/dictator stuff that hurt him the most at a crucial time. And dem establisIf the measures we are taking now, which will be lessened in a month or so do KILL OUR CI really think it will be ok. The draconian measures are only temporary. We will be able",0
Doosii8,sad,"One dayWell I don't have the money so that wouldn't help meI wish I could do that,I have to will almost 2 years till new phone cos contractsSame poor people problem",1
BobbyZwis,sad,"States the FAKE POTUS elected by Russian interference in OUR ELECTION! STFU and for once stop lyinRebecca is a BOT, probably a Russian Trump,cult member!",0
hatablockaz,sad,"""The younger generation now tells me how tough things are. Give me a break. No, no, I have no empathy for it. GiveThis makes me want to cry",1
FredWatson0,sad,"What about gig workers who stopped working for fear of eure to covid-infected customers? They wHuh, I'll have to think about that.",0
MagpieMon,sad,Or a District/Community Nurse,0
_iamMUSIK_,sad,Wheres my Gm tweet from I HOPE &amp; PRAY the is still going on this summer.Its very therapeutic unfollowing the lames on here.*unfollows*Yeah it was a few scenes taken out lol.,0
ElizabethElliot,sad,"She left most of the money behind, to be returned to the Ryans, in the book.Selecting a SCOTUS seat is also offense, as it has ramifications for at least a decad",0
iamlolaluv,sad,I hope everything works out for you... sending and positive energy your way,0
isingthesofa,sad,Adore. Godley.I usually spend that no-mans land between chrissamiss and newyear writing my Christmas cards.Ill just start em now.,0
xisabel21x,sad,MbnI hate it here &lt;/3,1
scaredhapP,sad,I watched Creep last night it was so good,0
timg33,sad,Pandemic Blues now 7k hospital UK deaths above 5k lowest aim and near 20k total limit. Abysmal. Time for Change,1
KimberleyC8,sad,Excellent work! So sad I missed you! Splitting childcare duties with my police officeyou've tapped off the outside gym equipment in preston park but the youth shelter and park benchesYes I tried that but it doesn't help in this instance. I've been charged for not returning equipment wstill no response from you regarding the overpayment you've taken this month. I'm a key worker forBOOM indeed!,1
trillingconcl,sad,"Anyway, that is a huge relief. It's sad that I feel the most financially secure in... idek how long... during a fucAlso, ftr, there is a whole other soap box about how SSI limits how much money you are allowed to have at once andBut, if I'm struggling, and I'm benefiting from these privileges, what about people who aren't as privileged? It's not right.",1
gaelle14juillet,sad,This is so terribly sad.,1
dynfuh_,sad,Im okay,0
